"id","year","state_name","state_code","type_of_accident","cases","injured","died"
191,"2019","Telangana","36","Road Accidents",21570.0,21999.0,6964.0
192,"2019","The Dadra And Nagar Haveli And Daman And Diu","38","Railway Accidents",0.0,0.0,0.0
193,"2019","The Dadra And Nagar Haveli And Daman And Diu","38","Railway Crossing Accidents",0.0,0.0,0.0
194,"2019","The Dadra And Nagar Haveli And Daman And Diu","38","Road Accidents",131.0,179.0,78.0
195,"2019","Tripura","16","Railway Accidents",5.0,0.0,5.0
196,"2019","Tripura","16","Railway Crossing Accidents",27.0,0.0,27.0
197,"2019","Tripura","16","Road Accidents",655.0,816.0,239.0
198,"2019","Uttar Pradesh","9","Railway Accidents",3980.0,502.0,3521.0
199,"2019","Uttar Pradesh","9","Railway Crossing Accidents",851.0,123.0,855.0
200,"2019","Uttar Pradesh","9","Road Accidents",37537.0,22251.0,23285.0
201,"2019","Uttarakhand","5","Railway Accidents",41.0,0.0,42.0
202,"2019","Uttarakhand","5","Railway Crossing Accidents",8.0,0.0,10.0
203,"2019","Uttarakhand","5","Road Accidents",1352.0,1457.0,867.0
204,"2019","West Bengal","19","Railway Accidents",2876.0,44.0,2832.0
205,"2019","West Bengal","19","Railway Crossing Accidents",113.0,6.0,107.0
206,"2019","West Bengal","19","Road Accidents",12233.0,11744.0,5724.0
207,"2020","Andaman And Nicobar Islands","35","Railway Accidents",0.0,0.0,0.0
208,"2020","Andaman And Nicobar Islands","35","Railway Crossing Accidents",0.0,0.0,0.0
209,"2020","Andaman And Nicobar Islands","35","Road Accidents",141.0,145.0,14.0
210,"2020","Andhra Pradesh","28","Railway Accidents",611.0,0.0,613.0
211,"2020","Andhra Pradesh","28","Railway Crossing Accidents",0.0,0.0,0.0
212,"2020","Andhra Pradesh","28","Road Accidents",17924.0,19675.0,7039.0
213,"2020","Arunachal Pradesh","12","Railway Accidents",0.0,0.0,0.0
214,"2020","Arunachal Pradesh","12","Railway Crossing Accidents",0.0,0.0,0.0
215,"2020","Arunachal Pradesh","12","Road Accidents",159.0,143.0,90.0
216,"2020","Assam","18","Railway Accidents",413.0,3.0,413.0
217,"2020","Assam","18","Railway Crossing Accidents",8.0,0.0,9.0
218,"2020","Assam","18","Road Accidents",6737.0,5065.0,2813.0
219,"2020","Bihar","10","Railway Accidents",780.0,3.0,781.0
220,"2020","Bihar","10","Railway Crossing Accidents",191.0,0.0,191.0
221,"2020","Bihar","10","Road Accidents",8639.0,7019.0,6698.0
222,"2020","Chandigarh","4","Railway Accidents",0.0,0.0,0.0
223,"2020","Chandigarh","4","Railway Crossing Accidents",0.0,0.0,0.0
224,"2020","Chandigarh","4","Road Accidents",157.0,148.0,53.0
225,"2020","Chhattisgarh","22","Railway Accidents",328.0,1.0,327.0
226,"2020","Chhattisgarh","22","Railway Crossing Accidents",4.0,0.0,4.0
227,"2020","Chhattisgarh","22","Road Accidents",11674.0,10549.0,4616.0
228,"2020","Delhi","7","Railway Accidents",526.0,111.0,415.0
229,"2020","Delhi","7","Railway Crossing Accidents",2.0,0.0,2.0
230,"2020","Delhi","7","Road Accidents",4187.0,3454.0,1196.0
231,"2020","Goa","30","Railway Accidents",23.0,0.0,23.0
232,"2020","Goa","30","Railway Crossing Accidents",0.0,0.0,0.0
233,"2020","Goa","30","Road Accidents",2375.0,875.0,224.0
234,"2020","Gujarat","24","Railway Accidents",490.0,0.0,492.0
235,"2020","Gujarat","24","Railway Crossing Accidents",1.0,0.0,1.0
236,"2020","Gujarat","24","Road Accidents",13407.0,11984.0,6200.0
237,"2020","Haryana","6","Railway Accidents",523.0,20.0,504.0
238,"2020","Haryana","6","Railway Crossing Accidents",57.0,1.0,56.0
239,"2020","Haryana","6","Road Accidents",9506.0,7627.0,4631.0
240,"2020","Himachal Pradesh","2","Railway Accidents",0.0,0.0,0.0
241,"2020","Himachal Pradesh","2","Railway Crossing Accidents",0.0,0.0,0.0
242,"2020","Himachal Pradesh","2","Road Accidents",2235.0,3208.0,864.0
243,"2020","Jammu And Kashmir","1","Railway Accidents",9.0,0.0,9.0
244,"2020","Jammu And Kashmir","1","Railway Crossing Accidents",0.0,0.0,0.0
245,"2020","Jammu And Kashmir","1","Road Accidents",4861.0,5924.0,731.0
246,"2020","Jharkhand","20","Railway Accidents",274.0,5.0,266.0
247,"2020","Jharkhand","20","Railway Crossing Accidents",22.0,0.0,22.0
248,"2020","Jharkhand","20","Road Accidents",4405.0,3295.0,3044.0
249,"2020","Karnataka","29","Railway Accidents",0.0,0.0,0.0
250,"2020","Karnataka","29","Railway Crossing Accidents",0.0,0.0,0.0
251,"2020","Karnataka","29","Road Accidents",34178.0,39492.0,9760.0
252,"2020","Kerala","32","Railway Accidents",110.0,5.0,110.0
253,"2020","Kerala","32","Railway Crossing Accidents",89.0,0.0,91.0
254,"2020","Kerala","32","Road Accidents",27799.0,30502.0,2977.0
255,"2020","Ladakh","37","Railway Accidents",0.0,0.0,0.0
256,"2020","Ladakh","37","Railway Crossing Accidents",0.0,0.0,0.0
257,"2020","Ladakh","37","Road Accidents",139.0,146.0,32.0
258,"2020","Lakshadweep","31","Railway Accidents",0.0,0.0,0.0
259,"2020","Lakshadweep","31","Railway Crossing Accidents",0.0,0.0,0.0
260,"2020","Lakshadweep","31","Road Accidents",1.0,1.0,0.0
261,"2020","Madhya Pradesh","23","Railway Accidents",820.0,0.0,822.0
262,"2020","Madhya Pradesh","23","Railway Crossing Accidents",144.0,2.0,142.0
263,"2020","Madhya Pradesh","23","Road Accidents",42396.0,41782.0,11665.0
264,"2020","Maharashtra","27","Railway Accidents",2697.0,792.0,1922.0
265,"2020","Maharashtra","27","Railway Crossing Accidents",0.0,0.0,0.0
266,"2020","Maharashtra","27","Road Accidents",22211.0,17165.0,12018.0
267,"2020","Manipur","14","Railway Accidents",0.0,0.0,0.0
268,"2020","Manipur","14","Railway Crossing Accidents",0.0,0.0,0.0
269,"2020","Manipur","14","Road Accidents",432.0,662.0,127.0
270,"2020","Meghalaya","17","Railway Accidents",0.0,0.0,0.0
271,"2020","Meghalaya","17","Railway Crossing Accidents",0.0,0.0,0.0
272,"2020","Meghalaya","17","Road Accidents",205.0,212.0,138.0
273,"2020","Mizoram","15","Railway Accidents",0.0,0.0,0.0
274,"2020","Mizoram","15","Railway Crossing Accidents",0.0,0.0,0.0
275,"2020","Mizoram","15","Road Accidents",47.0,45.0,53.0
276,"2020","Nagaland","13","Railway Accidents",0.0,0.0,0.0
277,"2020","Nagaland","13","Railway Crossing Accidents",3.0,0.0,3.0
278,"2020","Nagaland","13","Road Accidents",27.0,30.0,27.0
279,"2020","Odisha","21","Railway Accidents",279.0,0.0,280.0
280,"2020","Odisha","21","Railway Crossing Accidents",2.0,0.0,2.0
281,"2020","Odisha","21","Road Accidents",9817.0,8822.0,4738.0
282,"2020","Puducherry","34","Railway Accidents",0.0,0.0,0.0
283,"2020","Puducherry","34","Railway Crossing Accidents",0.0,0.0,0.0
284,"2020","Puducherry","34","Road Accidents",969.0,1019.0,145.0
285,"2020","Punjab","3","Railway Accidents",342.0,15.0,329.0
286,"2020","Punjab","3","Railway Crossing Accidents",2.0,0.0,4.0
287,"2020","Punjab","3","Road Accidents",5173.0,2881.0,3916.0
288,"2020","Rajasthan","8","Railway Accidents",429.0,15.0,415.0
289,"2020","Rajasthan","8","Railway Crossing Accidents",0.0,0.0,0.0
290,"2020","Rajasthan","8","Road Accidents",19121.0,16783.0,9252.0
291,"2020","Sikkim","11","Railway Accidents",0.0,0.0,0.0
292,"2020","Sikkim","11","Railway Crossing Accidents",0.0,0.0,0.0
293,"2020","Sikkim","11","Road Accidents",108.0,196.0,42.0
294,"2020","Tamil Nadu","33","Railway Accidents",959.0,64.0,902.0
295,"2020","Tamil Nadu","33","Railway Crossing Accidents",0.0,0.0,0.0
296,"2020","Tamil Nadu","33","Road Accidents",45484.0,50551.0,8059.0
297,"2020","Telangana","36","Railway Accidents",333.0,0.0,337.0
298,"2020","Telangana","36","Railway Crossing Accidents",0.0,0.0,0.0
299,"2020","Telangana","36","Road Accidents",19172.0,18661.0,6882.0
300,"2020","The Dadra And Nagar Haveli And Daman And Diu","38","Railway Accidents",0.0,0.0,0.0
301,"2020","The Dadra And Nagar Haveli And Daman And Diu","38","Railway Crossing Accidents",0.0,0.0,0.0
302,"2020","The Dadra And Nagar Haveli And Daman And Diu","38","Road Accidents",98.0,119.0,64.0
303,"2020","Tripura","16","Railway Accidents",2.0,0.0,2.0
304,"2020","Tripura","16","Railway Crossing Accidents",23.0,0.0,23.0
305,"2020","Tripura","16","Road Accidents",466.0,470.0,192.0
306,"2020","Uttar Pradesh","9","Railway Accidents",1560.0,31.0,1558.0
307,"2020","Uttar Pradesh","9","Railway Crossing Accidents",380.0,56.0,561.0
308,"2020","Uttar Pradesh","9","Road Accidents",28653.0,15982.0,19037.0
309,"2020","Uttarakhand","5","Railway Accidents",5.0,1.0,4.0
310,"2020","Uttarakhand","5","Railway Crossing Accidents",3.0,0.0,3.0
311,"2020","Uttarakhand","5","Road Accidents",1050.0,862.0,693.0
312,"2020","West Bengal","19","Railway Accidents",1505.0,61.0,1444.0
313,"2020","West Bengal","19","Railway Crossing Accidents",83.0,12.0,71.0
314,"2020","West Bengal","19","Road Accidents",10843.0,9556.0,5171.0
315,"2021","Andaman And Nicobar Islands","35","Railway Accidents",0.0,0.0,0.0
316,"2021","Andaman And Nicobar Islands","35","Railway Crossing Accidents",0.0,0.0,0.0
317,"2021","Andaman And Nicobar Islands","35","Road Accidents",117.0,97.0,22.0
318,"2021","Andhra Pradesh","28","Railway Accidents",755.0,0.0,760.0
319,"2021","Andhra Pradesh","28","Railway Crossing Accidents",0.0,0.0,0.0
320,"2021","Andhra Pradesh","28","Road Accidents",21556.0,21040.0,8186.0
321,"2021","Arunachal Pradesh","12","Railway Accidents",0.0,0.0,0.0
322,"2021","Arunachal Pradesh","12","Railway Crossing Accidents",0.0,0.0,0.0
323,"2021","Arunachal Pradesh","12","Road Accidents",261.0,266.0,173.0
324,"2021","Assam","18","Railway Accidents",459.0,0.0,459.0
325,"2021","Assam","18","Railway Crossing Accidents",3.0,2.0,2.0
326,"2021","Assam","18","Road Accidents",7069.0,5420.0,3014.0
