"id","year","state_name","state_code","mode_of_transport","injured","died"
304,"2021","Puducherry","34","Other Motor Vehicles",6.0,21.0
305,"2021","Puducherry","34","Others",119.0,0.0
306,"2021","Puducherry","34","Pedestrian",132.0,0.0
307,"2021","Puducherry","34","Suv / Car / Jeep / Etc.",51.0,44.0
308,"2021","Puducherry","34","Three Wheeler/Auto Rickshaw",6.0,3.0
309,"2021","Puducherry","34","Tractor",49.0,5.0
310,"2021","Puducherry","34","Truck/Lorry/Mini Truck",13.0,18.0
311,"2021","Puducherry","34","Two Wheeler",650.0,48.0
312,"2021","Punjab","3","Animal Drawn Vehicle",8.0,14.0
313,"2021","Punjab","3","Bicycle",131.0,194.0
314,"2021","Punjab","3","Bus",57.0,81.0
315,"2021","Punjab","3","Hand Drawn Vehicle/ Cycle Rickshaw",25.0,42.0
316,"2021","Punjab","3","Other Motor Vehicles",54.0,120.0
317,"2021","Punjab","3","Others",0.0,24.0
318,"2021","Punjab","3","Pedestrian",192.0,395.0
319,"2021","Punjab","3","Suv / Car / Jeep / Etc.",834.0,1140.0
320,"2021","Punjab","3","Three Wheeler/Auto Rickshaw",172.0,225.0
321,"2021","Punjab","3","Tractor",62.0,64.0
322,"2021","Punjab","3","Truck/Lorry/Mini Truck",164.0,289.0
323,"2021","Punjab","3","Two Wheeler",1335.0,1928.0
324,"2021","Rajasthan","8","Animal Drawn Vehicle",0.0,0.0
325,"2021","Rajasthan","8","Bicycle",57.0,28.0
326,"2021","Rajasthan","8","Bus",1388.0,441.0
327,"2021","Rajasthan","8","Hand Drawn Vehicle/ Cycle Rickshaw",4.0,1.0
328,"2021","Rajasthan","8","Other Motor Vehicles",816.0,508.0
329,"2021","Rajasthan","8","Others",140.0,83.0
330,"2021","Rajasthan","8","Pedestrian",1435.0,877.0
331,"2021","Rajasthan","8","Suv / Car / Jeep / Etc.",5164.0,2415.0
332,"2021","Rajasthan","8","Three Wheeler/Auto Rickshaw",501.0,177.0
333,"2021","Rajasthan","8","Tractor",776.0,592.0
334,"2021","Rajasthan","8","Truck/Lorry/Mini Truck",1909.0,1326.0
335,"2021","Rajasthan","8","Two Wheeler",7167.0,3595.0
336,"2021","Sikkim","11","Animal Drawn Vehicle",0.0,0.0
337,"2021","Sikkim","11","Bicycle",0.0,0.0
338,"2021","Sikkim","11","Bus",1.0,0.0
339,"2021","Sikkim","11","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
340,"2021","Sikkim","11","Other Motor Vehicles",0.0,0.0
341,"2021","Sikkim","11","Others",3.0,2.0
342,"2021","Sikkim","11","Pedestrian",4.0,4.0
343,"2021","Sikkim","11","Suv / Car / Jeep / Etc.",118.0,42.0
344,"2021","Sikkim","11","Three Wheeler/Auto Rickshaw",0.0,0.0
345,"2021","Sikkim","11","Tractor",0.0,0.0
346,"2021","Sikkim","11","Truck/Lorry/Mini Truck",36.0,11.0
347,"2021","Sikkim","11","Two Wheeler",16.0,5.0
348,"2021","Tamil Nadu","33","Animal Drawn Vehicle",46.0,30.0
349,"2021","Tamil Nadu","33","Bicycle",732.0,234.0
350,"2021","Tamil Nadu","33","Bus",1825.0,551.0
351,"2021","Tamil Nadu","33","Hand Drawn Vehicle/ Cycle Rickshaw",82.0,9.0
352,"2021","Tamil Nadu","33","Other Motor Vehicles",1036.0,370.0
353,"2021","Tamil Nadu","33","Others",463.0,187.0
354,"2021","Tamil Nadu","33","Pedestrian",5609.0,2085.0
